Timestamp,Grade Of Service %,Calls Offered,Calls Abandoned,Calls Handled,CallsAbandonedAfterThreshold,CallsHandledAfterThreshold,TotalTalkTime,TotalDelayToAnswer,TotalDelayToAbandon,AverageHandlingTime,AveDelayToAnswer,AveDelayToAbandon
1/05/2014,37.64,4465,542,3923,298,2486,1013910,1135934,130789,258,290,241
2/05/2014,46.58,4291,455,3836,233,2059,1025378,1028331,104727,267,268,230
5/05/2014,24.59,5420,1204,4216,849,3238,1082904,2235990,478420,257,530,397
6/05/2014,47.66,4513,449,4064,198,2164,1031892,951655,89108,254,234,198
7/05/2014,47.47,4548,424,4124,185,2204,1065983,860523,80363,258,209,190
8/05/2014,68.48,4296,292,4004,99,1255,1068937,597975,49184,267,149,168
9/05/2014,43.97,3998,606,3392,410,1830,899259,1181864,194273,265,348,321
12/05/2014,26.06,5390,1130,4260,757,3228,1160863,2237773,439266,273,525,389
13/05/2014,59.29,4432,351,4081,128,1676,1080996,759093,63335,265,186,180
14/05/2014,40.94,4142,475,3667,232,2214,968482,1058938,114103,264,289,240
15/05/2014,41.19,4088,487,3601,248,2156,951758,1120050,122349,264,311,251
16/05/2014,31.99,3932,637,3295,384,2290,893620,1456868,195990,271,442,308
19/05/2014,38.08,4792,666,4126,392,2575,1126678,1684254,219961,273,408,330
20/05/2014,40.89,4260,594,3666,350,2168,972886,1358527,189904,265,371,320
21/05/2014,29.24,4316,665,3651,412,2642,1005237,1586292,232988,275,434,350
22/05/2014,40.04,4543,727,3816,487,2237,1039443,1386940,259192,272,363,357
23/05/2014,36.74,4308,528,3780,303,2422,998657,1272682,160748,264,337,304
26/05/2014,25.18,5892,1137,4755,801,3607,1307386,2326102,391976,275,489,345
27/05/2014,27.96,5211,1082,4129,802,2952,1177613,1958079,429124,285,474,397
28/05/2014,56.96,4687,325,4362,122,1895,1179503,805898,54604,270,185,168
29/05/2014,51.82,4338,494,3844,278,1812,1076361,939367,157161,280,244,318
30/05/2014,33.77,4038,438,3600,225,2449,1037692,1059676,99479,288,294,227
